Trying 192.168.1.177...
Connected to 192.168.1.177.
Escape character is '^]'.
45 Temperature: 70.24
46 Humidity: 53.22
47 Temperature: 70.26
48 Humidity: 53.22
49 Temperature: 70.28
50 Humidity: 53.22
51 Temperature: 70.28
52 Humidity: 53.28
53 Temperature: 70.30
54 Humidity: 53.37
55 Temperature: 70.32
56 Humidity: 53.40
57 Temperature: 70.34
58 Humidity: 53.40
59 Temperature: 70.34
60 Humidity: 53.40
61 Temperature: 70.35
62 Humidity: 53.37
63 Temperature: 70.37
64 Humidity: 53.37
65 Temperature: 70.37
66 Humidity: 53.36
67 Temperature: 70.37
68 Humidity: 53.30
69 Temperature: 70.37
70 Humidity: 53.27
71 Temperature: 70.39
72 Humidity: 53.27
73 Temperature: 70.41
74 Humidity: 53.30
75 Temperature: 70.41
76 Humidity: 53.30
77 Temperature: 70.43
78 Humidity: 53.30
79 Temperature: 70.45
80 Humidity: 53.30
81 Temperature: 70.45
82 Humidity: 53.27
83 Temperature: 70.47
84 Humidity: 53.24
85 Temperature: 70.49
86 Humidity: 53.24
87 Temperature: 70.49
88 Humidity: 53.24
89 Temperature: 70.49
90 Humidity: 53.21
91 Temperature: 70.51
92 Humidity: 53.18
93 Temperature: 70.55
94 Humidity: 53.18
95 Temperature: 70.55
96 Humidity: 53.09
97 Temperature: 70.55
98 Humidity: 53.06
99 Temperature: 70.55
100 Humidity: 53.03
101 Temperature: 70.55
102 Humidity: 53.03
103 Temperature: 70.55
104 Humidity: 53.00
105 Temperature: 70.57
106 Humidity: 53.03
107 Temperature: 70.59
108 Humidity: 53.03
109 Temperature: 70.61
110 Humidity: 53.00
111 Temperature: 70.61
112 Humidity: 52.97
113 Temperature: 70.62
114 Humidity: 52.97
115 Temperature: 70.64
116 Humidity: 52.91
117 Temperature: 70.64
118 Humidity: 52.93
119 Temperature: 70.66
120 Humidity: 52.93
121 Temperature: 70.68
122 Humidity: 52.99
123 Temperature: 70.68
124 Humidity: 53.05
125 Temperature: 70.70
126 Humidity: 53.08
127 Temperature: 70.70
128 Humidity: 53.08
129 Temperature: 70.72
130 Humidity: 53.08
131 Temperature: 70.74
132 Humidity: 53.02
133 Temperature: 70.76
134 Humidity: 52.99
135 Temperature: 70.76
136 Humidity: 52.99
137 Temperature: 70.78
138 Humidity: 52.90
139 Temperature: 70.78
140 Humidity: 52.90
141 Temperature: 70.80
142 Humidity: 52.87
143 Temperature: 70.80
144 Humidity: 52.84
145 Temperature: 70.82
146 Humidity: 52.75
147 Temperature: 70.82
148 Humidity: 52.72
149 Temperature: 70.84
150 Humidity: 52.69
151 Temperature: 70.84
152 Humidity: 52.65
153 Temperature: 70.86
154 Humidity: 52.62
155 Temperature: 70.86
156 Humidity: 52.59
157 Temperature: 70.86
158 Humidity: 52.50
159 Temperature: 70.88
160 Humidity: 52.44
161 Temperature: 70.89
162 Humidity: 52.38
163 Temperature: 70.89
164 Humidity: 52.29
165 Temperature: 70.91
166 Humidity: 52.23
167 Temperature: 70.91
168 Humidity: 52.20
169 Temperature: 70.93
170 Humidity: 52.11
171 Temperature: 70.93
172 Humidity: 52.11
173 Temperature: 70.95
174 Humidity: 52.07
175 Temperature: 70.95
176 Humidity: 52.04
177 Temperature: 70.95
178 Humidity: 52.04
179 Temperature: 70.95
180 Humidity: 52.01
181 Temperature: 70.97
182 Humidity: 51.98
183 Temperature: 70.97
184 Humidity: 51.95
185 Temperature: 70.99
186 Humidity: 51.95
187 Temperature: 71.01
188 Humidity: 51.92
189 Temperature: 71.01
190 Humidity: 51.92
191 Temperature: 71.03
192 Humidity: 51.92
193 Temperature: 71.03
194 Humidity: 51.92
195 Temperature: 71.05
196 Humidity: 51.92
197 Temperature: 71.05
198 Humidity: 51.92
199 Temperature: 71.07
200 Humidity: 51.89
201 Temperature: 71.07
202 Humidity: 51.92
203 Temperature: 71.07
204 Humidity: 51.92
205 Temperature: 71.09
206 Humidity: 51.86
207 Temperature: 71.11
208 Humidity: 51.83
209 Temperature: 71.11
210 Humidity: 51.74
211 Temperature: 71.11
212 Humidity: 51.71
213 Temperature: 71.13
214 Humidity: 51.65
215 Temperature: 71.13
216 Humidity: 51.65
217 Temperature: 71.15
218 Humidity: 51.59
219 Temperature: 71.15
220 Humidity: 51.65
221 Temperature: 71.15
222 Humidity: 51.65
223 Temperature: 71.17
224 Humidity: 51.65
225 Temperature: 71.17
226 Humidity: 51.65
227 Temperature: 71.17
228 Humidity: 51.59
229 Temperature: 71.18
230 Humidity: 51.56
231 Temperature: 71.18
232 Humidity: 51.50
233 Temperature: 71.18
234 Humidity: 51.43
235 Temperature: 71.20
236 Humidity: 51.34
237 Temperature: 71.20
238 Humidity: 51.25
239 Temperature: 71.20
240 Humidity: 51.08
241 Temperature: 71.22
242 Humidity: 50.92
243 Temperature: 71.20
244 Humidity: 50.88
245 Temperature: 71.20
246 Humidity: 50.71
247 Temperature: 71.20
248 Humidity: 50.67
249 Temperature: 71.20
250 Humidity: 50.60
251 Temperature: 71.20
252 Humidity: 50.57
253 Temperature: 71.20
254 Humidity: 50.47
255 Temperature: 71.20
256 Humidity: 50.43
257 Temperature: 71.20
258 Humidity: 50.37
259 Temperature: 71.20
260 Humidity: 50.26
261 Temperature: 71.20
262 Humidity: 50.23
263 Temperature: 71.20
264 Humidity: 50.19
265 Temperature: 71.18
266 Humidity: 50.16
267 Temperature: 71.18
268 Humidity: 50.12
269 Temperature: 71.20
270 Humidity: 50.05
271 Temperature: 71.20
272 Humidity: 50.05
273 Temperature: 71.18
274 Humidity: 49.98
275 Temperature: 71.18
276 Humidity: 49.98
277 Temperature: 71.18
278 Humidity: 49.92
279 Temperature: 71.18
280 Humidity: 49.89
281 Temperature: 71.18
282 Humidity: 49.82
283 Temperature: 71.18
284 Humidity: 49.75
285 Temperature: 71.17
286 Humidity: 49.68
287 Temperature: 71.17
288 Humidity: 49.68
289 Temperature: 71.17
290 Humidity: 49.61
291 Temperature: 71.18
292 Humidity: 49.68
293 Temperature: 71.17
294 Humidity: 49.61
295 Temperature: 71.17
296 Humidity: 49.57
297 Temperature: 71.17
298 Humidity: 49.54
299 Temperature: 71.15
300 Humidity: 49.44
301 Temperature: 71.15
302 Humidity: 49.34
303 Temperature: 71.15
304 Humidity: 49.27
305 Temperature: 71.15
306 Humidity: 49.16
307 Temperature: 71.15
308 Humidity: 49.09
309 Temperature: 71.15
310 Humidity: 49.06
311 Temperature: 71.15
312 Humidity: 49.03
313 Temperature: 71.15
314 Humidity: 48.99
315 Temperature: 71.13
316 Humidity: 48.92
317 Temperature: 71.13
318 Humidity: 48.92
319 Temperature: 71.15
320 Humidity: 48.92
321 Temperature: 71.13
322 Humidity: 48.89
323 Temperature: 71.13
324 Humidity: 48.89
325 Temperature: 71.13
326 Humidity: 48.89
327 Temperature: 71.13
328 Humidity: 48.89
329 Temperature: 71.15
330 Humidity: 48.92
331 Temperature: 71.15
332 Humidity: 48.99
333 Temperature: 71.13
334 Humidity: 49.06
335 Temperature: 71.15
336 Humidity: 49.13
337 Temperature: 71.15
338 Humidity: 49.16
339 Temperature: 71.15
340 Humidity: 49.23
341 Temperature: 71.15
342 Humidity: 49.27
343 Temperature: 71.15
344 Humidity: 49.34
345 Temperature: 71.15
346 Humidity: 49.44
347 Temperature: 71.15
348 Humidity: 49.50
349 Temperature: 71.17
350 Humidity: 49.57
351 Temperature: 71.15
352 Humidity: 49.57
353 Temperature: 71.17
354 Humidity: 49.57
355 Temperature: 71.17
356 Humidity: 49.61
357 Temperature: 71.18
358 Humidity: 49.68
359 Temperature: 71.18
360 Humidity: 49.71
361 Temperature: 71.20
362 Humidity: 49.78
363 Temperature: 71.18
364 Humidity: 49.82
365 Temperature: 71.20
366 Humidity: 49.89
367 Temperature: 71.20
368 Humidity: 49.89
369 Temperature: 71.20
370 Humidity: 49.92
371 Temperature: 71.22
372 Humidity: 49.92
373 Temperature: 71.20
374 Humidity: 49.98
375 Temperature: 71.22
376 Humidity: 49.98
377 Temperature: 71.22
378 Humidity: 50.02
379 Temperature: 71.22
380 Humidity: 50.05
381 Temperature: 71.22
382 Humidity: 50.05
383 Temperature: 71.24
384 Humidity: 50.05
385 Temperature: 71.24
386 Humidity: 50.05
387 Temperature: 71.24
388 Humidity: 50.08
389 Temperature: 71.26
390 Humidity: 50.05
391 Temperature: 71.26
392 Humidity: 50.15
393 Temperature: 71.28
394 Humidity: 50.21
395 Temperature: 71.28
396 Humidity: 50.39
397 Temperature: 71.30
398 Humidity: 50.42
399 Temperature: 71.30
400 Humidity: 50.46
401 Temperature: 71.30
402 Humidity: 50.49
403 Temperature: 71.30
404 Humidity: 50.49
405 Temperature: 71.32
406 Humidity: 50.49
407 Temperature: 71.32
408 Humidity: 50.49
409 Temperature: 71.34
410 Humidity: 50.53
411 Temperature: 71.36
412 Humidity: 50.53
413 Temperature: 71.36
414 Humidity: 50.59
415 Temperature: 71.38
416 Humidity: 50.59
417 Temperature: 71.38
418 Humidity: 50.59
419 Temperature: 71.38
420 Humidity: 50.59
421 Temperature: 71.40
422 Humidity: 50.63
423 Temperature: 71.42
424 Humidity: 50.63
425 Temperature: 71.42
426 Humidity: 50.59
427 Temperature: 71.42
428 Humidity: 50.59
429 Temperature: 71.44
430 Humidity: 50.63
431 Temperature: 71.45
432 Humidity: 50.66
433 Temperature: 71.45
434 Humidity: 50.66
435 Temperature: 71.47
436 Humidity: 50.66
437 Temperature: 71.49
438 Humidity: 50.66
439 Temperature: 71.49
440 Humidity: 50.66
441 Temperature: 71.49
442 Humidity: 50.66
443 Temperature: 71.49
444 Humidity: 50.63
445 Temperature: 71.51
446 Humidity: 50.59
447 Temperature: 71.51
448 Humidity: 50.59
449 Temperature: 71.51
450 Humidity: 50.59
451 Temperature: 71.53
452 Humidity: 50.63
453 Temperature: 71.55
454 Humidity: 50.63
455 Temperature: 71.55
456 Humidity: 50.63
457 Temperature: 71.55
458 Humidity: 50.63
459 Temperature: 71.55
460 Humidity: 50.59
461 Temperature: 71.57
462 Humidity: 50.59
463 Temperature: 71.57
464 Humidity: 50.62
465 Temperature: 71.59
466 Humidity: 50.62
467 Temperature: 71.59
468 Humidity: 50.62
469 Temperature: 71.59
470 Humidity: 50.62
471 Temperature: 71.61
472 Humidity: 50.62
473 Temperature: 71.61
474 Humidity: 50.55
475 Temperature: 71.63
476 Humidity: 50.55
477 Temperature: 71.63
478 Humidity: 50.52
479 Temperature: 71.63
